product_id,product_category_name,date,year,month,qty,unit_price,avg_competitor_price,price_gap_pct,revenue,log_qty,log_price,product_score,customers,weekend,holiday
bed1,bed_bath_table,2017-05-01,2017,5,1,45.95,116.94999999999999,-60.70970500213766,45.95,0.0,3.827553848801696,4.0,57,8,1
bed1,bed_bath_table,2017-06-01,2017,6,3,45.95,114.94999999999999,-60.026098303610254,137.85000000000002,1.0986122886681098,3.827553848801696,4.0,61,8,1
bed1,bed_bath_table,2017-07-01,2017,7,6,45.95,113.61666666666666,-59.55698987824556,275.70000000000005,1.791759469228055,3.827553848801696,4.0,123,10,1
bed1,bed_bath_table,2017-08-01,2017,8,4,45.95,111.78660130000002,-58.89489485713526,183.8,1.3862943611198906,3.827553848801696,4.0,90,8,1
bed1,bed_bath_table,2017-09-01,2017,9,2,45.95,99.7495699,-53.934638469052686,91.9,0.6931471805599453,3.827553848801696,4.0,54,9,1
bed1,bed_bath_table,2017-10-01,2017,10,3,45.95,60.6,-24.174917491749174,137.85000000000002,1.0986122886681098,3.827553848801696,4.0,50,9,2
bed1,bed_bath_table,2017-11-01,2017,11,11,40.53181818,56.98787878666667,-28.876422420054798,445.84999998,2.3978952727983707,3.7020872997376597,4.0,97,8,4
bed1,bed_bath_table,2017-12-01,2017,12,6,39.99,56.15607843000001,-28.787762397175648,239.94,1.791759469228055,3.688629422858727,4.0,41,10,1
bed1,bed_bath_table,2018-01-01,2018,1,19,39.99,55.62666666666667,-28.11001917545542,759.8100000000001,2.9444389791664403,3.688629422858727,4.0,62,8,2
bed1,bed_bath_table,2018-02-01,2018,2,18,39.99,55.62666666666667,-28.11001917545542,719.82,2.8903717578961645,3.688629422858727,4.0,62,8,2
bed1,bed_bath_table,2018-03-01,2018,3,17,39.99,55.62666666666667,-28.11001917545542,679.83,2.833213344056216,3.688629422858727,4.0,43,9,1
bed1,bed_bath_table,2018-04-01,2018,4,13,39.99,55.00833333333333,-27.301923950916525,519.87,2.5649493574615367,3.688629422858727,4.0,34,9,1
bed1,bed_bath_table,2018-05-01,2018,5,19,39.99,54.54320512666667,-26.681976412771302,759.8100000000001,2.9444389791664403,3.688629422858727,4.0,57,8,3
bed1,bed_bath_table,2018-06-01,2018,6,5,39.99,53.293333333333344,-24.962471853890428,199.95000000000002,1.6094379124341003,3.688629422858727,4.0,43,9,0
bed1,bed_bath_table,2018-07-01,2018,7,8,39.99,52.63777777666667,-24.02794781787537,319.92,2.0794415416798357,3.688629422858727,4.0,26,9,1
bed1,bed_bath_table,2018-08-01,2018,8,8,39.24,50.826666666666675,-22.79643231899266,313.92,2.0794415416798357,3.6696966346971625,4.0,15,8,1
bed2,bed_bath_table,2017-02-01,2017,2,2,89.9,89.90000000000002,-1.580740235283871e-14,179.8,0.6931471805599453,4.498697941477575,3.9,2,8,2
bed2,bed_bath_table,2017-03-01,2017,3,22,89.9,89.90000000000002,-1.580740235283871e-14,1977.8000000000002,3.091042453358316,4.498697941477575,3.9,20,8,1
bed2,bed_bath_table,2017-04-01,2017,4,34,89.9,89.90000000000002,-1.580740235283871e-14,3056.6000000000004,3.5263605246161616,4.498697941477575,3.9,31,10,2
bed2,bed_bath_table,2017-05-01,2017,5,58,89.9,116.94999999999999,-23.1295425395468,5214.200000000001,4.060443010546419,4.498697941477575,3.9,57,8,1
bed2,bed_bath_table,2017-06-01,2017,6,51,89.9,114.94999999999999,-21.79208351457154,4584.900000000001,3.9318256327243257,4.498697941477575,3.9,61,8,1
